"";"duration_song";"centroid_f";"LFC_spectral_cover";"MFC_spectral_cover";"HFC_spectral_cover";"Hf_spectral_entropy";"number_of_freq_peaks";"syllable_duration_mean";"sound_per_vocalization_ratio"
"Acanthis flammea";4,4;3875,9765625;0,379685214239384;0,340732929686971;0,368001973721668;0,61334913420269;19,6;0,0620086571428572;0,375063933333333
"Acrocephalus arundinaceus";11,5;3359,1796875;0,450987815773816;0,378683473243119;0,404017095863446;0,603673679944176;31,5;0,053930875;0,302167053571429
"Acrocephalus palustris";2,21428571428571;4029,78515625;0,380047378248642;0,334910255097663;0,362195214193026;0,626009124086116;31,9285714285714;0,0532180083036517;0,302250416666667
"Acrocephalus schoenobaenus";11,3333333333333;4478,90625;0,411826177420157;0,36763865550178;0,354135934648633;0,723998641994285;30;0,054637391897211;0,361965064102564
"Acrocephalus scirpaceus";33;3402,24609375;0,40763126431948;0,33755056438699;0,380808129856347;0,636077082278463;22;0,056581109396528;0,326911818181819
"Aegithalos caudatus";3,25;6325,37841796875;0,397244314073543;0,290654534692803;0,360110629763043;0,559406683289192;25,625;0,0604756775053305;0,292651644736842
"Alauda arvensis";36,3333333333333;4177,44140625;0,385958530610123;0,361855016630603;0,373329482808038;0,629613782534455;16;0,0582906528569838;0,433565825872312
"Alcedo atthis";0,444444444444444;5751,7578125;0,270677147712562;0,215722342005675;0,323326373558692;0,492488672293288;32,1111111111111;0,0628950185185185;0,193497777777778
"Anthus campestris";0,882352941176471;4248,37431066176;0,359220194610417;0,324188393123538;0,354826689593451;0,55257854635205;19,2352941176471;0,0466098863898501;0,198671764705882
"Anthus pratensis";9;4722,94921875;0,428592549560437;0,368832858202797;0,426478488825077;0,521544132590291;8;0,0431062986515401;0,353343640350877
"Anthus spinoletta";5,57142857142857;4700,390625;0,374573665205891;0,336783696459279;0,342907289618442;0,621660912135385;10,5714285714286;0,0664256982711117;0,418150557775558
"Anthus trivialis";7;4450,1953125;0,398839732707351;0,35988228493471;0,396069127733954;0,654728447267372;12;0,0627608317173023;0,400934632478633
"Apus apus";6;5124,90234375;0,34331937419264;0,290633358356792;0,30072881213393;0,594588664488332;27;0,0571132544283414;0,391004166666667
"Apus pallidus";3;4629,638671875;0,338374807681428;0,315362089636852;0,298276448815488;0,595125088324167;32,5;0,0602137327075099;0,3730625
"Calandrella brachydactyla";1,375;3859,82666015625;0,349505662791856;0,337285131042839;0,361295534652209;0,600366790354457;18,75;0,0541366136363636;0,495418125
"Caprimulgus europaeus";17;1937,98828125;0,273686520799568;0,253864706336343;0,270545384353197;0,506709932255048;11;0,0510888622754492;0,501872941176471
"Carduelis carduelis";3,44444444444444;3828,125;0,346475151292294;0,329260797449916;0,343743764802396;0,634414002997736;27,8888888888889;0,0491425190968377;0,309438249158249
"Carduelis citrinella";23,5;4005,17578125;0,390407833990908;0,312741220441031;0,362324285370333;0,632669534928946;25,5;0,0470150477562158;0,328652092592593
"Cecropis daurica";1,75;3552,978515625;0,327635371310809;0,337958456526566;0,357819287037357;0,579597469842272;27,75;0,0582544823232324;0,460523333333334
"Certhia brachydactyla";1,375;5636,31591796875;0,366860530129078;0,293778056314543;0,310705141358495;0,583712398656805;30,5;0,0697965972222222;0,47428375
"Certhia familiaris";3;5928,80859375;0,347406540413223;0,282818080165878;0,286871822029429;0,614808903130171;28,6666666666667;0,0549019985569986;0,396026666666667
"Cettia cetti";2,33333333333333;4033,88671875;0,409156581586775;0,350933684851959;0,385656537293813;0,641987217096128;29,6666666666667;0,0531349914529915;0,341362222222222
"Chloris chloris";1,9;3479,765625;0,315966507706516;0,271151668892409;0,308601731308058;0,53559812397966;25;0,0393707457496853;0,36944925
"Cinclus cinclus";6,75;4091,30859375;0,417518409544829;0,321136440311655;0,393453132109477;0,636153867978104;22;0,0597356199460917;0,298523338293651
"Cisticola juncidis";14;6933,69140625;0,285005595730028;0,228637839433294;0,271970214237577;0,60648432254071;14;0,0526777192982457;0,214473571428572
"Clamator glandarius";1,27272727272727;2740,58948863636;0,263086123341403;0,232944038659146;0,243731903883085;0,582266275446566;34,3636363636364;0,0667383108471988;0,260048787878788
"Coccothraustes coccothraustes";0;5245,48828125;0,332940964484346;0,249137575103001;0,331275985042933;0,306946043651809;33,4;0,055485;0,132354
"Columba livia";1;409,130859375;0,197565057576813;0,255012884479969;0,265127766695165;0,270774175613526;2;0,0479076704545454;0,444805
"Columba oenas";0,888888888888889;378,02734375;0,241163335370689;0,3326301676199;0,34755165024733;0,198424542226106;2,33333333333333;0,0640815740740741;0,252037777777778
"Columba palumbus";5,5;473,73046875;0,338062776235842;0,39091168251179;0,394235590707904;0,29758978210161;1;0,0569241944758673;0,332233472222222
"Coracias garrulus";2;2294,82421875;0,346478314029341;0,296505551638388;0,340956475143578;0,550448590356201;30,2142857142857;0,0545727482993197;0,272027119047619
"Corvus corax";0,448275862068966;1651,37392241379;0,31352151225856;0,249345601436007;0,297605980546483;0,484919851937618;34;0,0824419819376026;0,173048620689655
"Corvus corone";3,4;1929,375;0,359639127026717;0,25744724418488;0,329994629916307;0,567335287781435;27,6;0,0550667860778428;0,383222366666667
"Corvus frugilegus";1;1714,04296875;0,267251997502813;0,236901229775562;0,282847447332653;0,532506723541862;26,8;0,0673410448717949;0,384728
"Corvus monedula";0,444444444444444;1952,34375;0,253074996796711;0,269790614377675;0,277991217198417;0,502570649927785;31,1111111111111;0,0558644691358025;0,232848888888889
"Cuculus canorus";2;631,640625;0,339306531131166;0,412757540865155;0,422127263131277;0,276984137136548;1,5;0,0749666593567252;0,220072857142857
"Curruca cantillans";3,2;4160,21484375;0,38957038216885;0,379723634354802;0,362637137199517;0,656679876628663;27;0,0460186107986217;0,417768166666667
"Curruca communis";5,5;3428,0859375;0,354182242071049;0,326927940413089;0,330276181678215;0,605497343242459;31,2;0,0550019648256994;0,450840119047619
"Curruca conspicillata";2,2;4203,28125;0,336951451236072;0,343160305410648;0,330275087710401;0,618691054420932;26,8;0,053419864876094;0,450370333333333
"Curruca curruca";2,6;3901,81640625;0,359841414858253;0,356672268328153;0,354870196053383;0,612806773137419;23,6;0,0429235833333333;0,402814666666667
"Curruca hortensis";2;2644,27734375;0,356455738518438;0,298374850804218;0,340647701648859;0,493986713761839;21;0,0586781;0,384435
"Curruca melanocephala";1,5;4360,4736328125;0,373921704905303;0,32275990328325;0,336056349914976;0,526266760645563;25,75;0,039751439171123;0,48418
"Curruca undata";2,25;3929,8095703125;0,337160505079543;0,336350883401809;0,326597910344523;0,598358672979983;22;0,0464758394798137;0,438757083333333
