"species","ssi_mean","cartnat_layer"
"Acrocephalus arundinaceus",-0.109168121397195,1
"Acrocephalus palustris",0.105667033857509,1
"Acrocephalus schoenobaenus",0.165531018046326,1
"Acrocephalus scirpaceus",0.175048544808328,1
"Aegithalos caudatus",-0.0468742131386054,1
"Alauda arvensis",0.108482617512964,1
"Alcedo atthis",0.104211932249973,1
"Anthus campestris",-0.105203852293095,1
"Anthus pratensis",0.186814603679495,1
"Anthus spinoletta",-0.296714251177513,1
"Anthus trivialis",-0.125990321881649,1
"Apus apus",0.078673525726789,1
"Caprimulgus europaeus",-0.812296647791472,1
"Carduelis carduelis",0.0537070365305437,1
"Carduelis citrinella",-0.608216343914352,1
"Certhia brachydactyla",-0.029296838744377,1
"Certhia familiaris",-0.498228346449647,1
"Cettia cetti",0.196757440972126,1
"Chloris chloris",0.0834975164252628,1
"Cinclus cinclus",-0.0216805794342197,1
"Cisticola juncidis",0.0980128016805213,1
"Clamator glandarius",0.00122220289967104,1
"Coccothraustes coccothraustes",-0.226892470094871,1
"Columba livia",0.295321104133614,1
"Columba oenas",0.0716446702291348,1
"Columba palumbus",0.00552599779858644,1
"Coracias garrulus",0.0132342256471027,1
"Corvus corax",-0.379271502894428,1
"Corvus corone",0.0167139491469246,1
"Corvus frugilegus",0.247788782087806,1
"Corvus monedula",0.160066797566363,1
"Cuculus canorus",-0.0866431418086104,1
"Curruca cantillans",-0.452896523342203,1
"Curruca communis",0.0898941762435614,1
"Curruca curruca",0.027475830753478,1
"Curruca hortensis",-0.233821110009757,1
"Curruca melanocephala",-0.259467218999895,1
"Curruca undata",-0.611809378212488,1
"Cyanistes caeruleus",0.00598342195074278,1
"Delichon urbicum",0.126380702960118,1
"Dendrocopos major",-0.051535723674009,1
"Dryobates minor",-0.100712282050459,1
"Dryocopus martius",-0.291582204298302,1
"Emberiza calandra",0.145720093590525,1
"Emberiza cia",-0.182539782767468,1
"Emberiza cirlus",0.0348352645128688,1
"Emberiza citrinella",-0.0218698485022692,1
"Emberiza hortulana",0.0187935858123129,1
"Emberiza schoeniclus",0.129842160808075,1
"Erithacus rubecula",-0.0246152035547487,1
"Ficedula hypoleuca",-0.124507427654868,1
"Fringilla coelebs",-0.00854505508822053,1
"Fringilla montifringilla",-0.333245695051421,1
"Galerida cristata",0.181936645331005,1
"Garrulus glandarius",-0.0426762887144155,1
"Hippolais icterina",0.183224083153903,1
"Hippolais polyglotta",0.0551923518533271,1
"Hirundo rustica",0.0585081698298036,1
"Jynx torquilla",-0.1513292869946,1
"Lanius collurio",-0.00798949599173874,1
"Lanius excubitor",-0.0638077887716363,1
"Lanius senator",0.055134972495064,1
"Leiopicus medius",-0.418033647564529,1
"Linaria cannabina",0.0956826305305766,1
"Locustella naevia",-0.119965005184866,1
"Lophophanes cristatus",-0.327545080675628,1
"Loxia curvirostra",-0.551855950400286,1
"Lullula arborea",-0.093951244953185,1
"Luscinia megarhynchos",0.0519660569336118,1
"Luscinia svecica",0.248507063853141,1
"Merops apiaster",-0.107257008641454,1
"Motacilla alba",0.0407885744441919,1
"Motacilla cinerea",-0.0182317122172258,1
"Motacilla flava",0.256834808853894,1
"Muscicapa striata",-0.0828507895164032,1
"Nucifraga caryocatactes",-0.535085983032351,1
"Oenanthe oenanthe",0.153588827058353,1
"Oriolus oriolus",-0.0176361681767636,1
"Parus major",0.000799699778819878,1
"Passer domesticus",0.128870133996095,1
"Passer montanus",0.161501984619221,1
"Periparus ater",-0.370714630583861,1
"Petronia petronia",-0.115857386171467,1
"Phoenicurus ochruros",0.0670486755384601,1
"Phoenicurus phoenicurus",-0.0786687111126213,1
"Phylloscopus bonelli",-0.248954111793304,1
"Phylloscopus collybita",-0.0142574099281284,1
"Phylloscopus sibilatrix",-0.412828323024413,1
"Phylloscopus trochilus",-0.0638587001808559,1
"Pica pica",0.137955136852552,1
"Picus canus",-0.595902213753563,1
"Picus viridis",-0.0156771003432998,1
"Poecile montanus",-0.421020794135642,1
"Poecile palustris",-0.205609271297082,1
"Prunella modularis",0.0298731750093175,1
"Ptyonoprogne rupestris",-0.378898698513451,1
"Pyrrhocorax pyrrhocorax",-0.803784793055,1
"Pyrrhula pyrrhula",-0.328506839780856,1
"Regulus ignicapilla",-0.220787446382448,1
"Regulus regulus",-0.196804707086486,1
"Riparia riparia",0.272728594422377,1
"Saxicola rubetra",0.0600397387237335,1
"Saxicola torquatus",0.0833058496668717,1
"Serinus serinus",0.0263409188514836,1
"Sitta europaea",-0.114044173036205,1
"Spinus spinus",-0.229201163584473,1
"Streptopelia decaocto",0.119732392390922,1
"Streptopelia turtur",-0.00400539417008206,1
"Sturnus vulgaris",0.0708940337418059,1
"Sylvia atricapilla",0.000268692211974801,1
"Sylvia borin",-0.024807783951241,1
"Tachymarptis melba",-0.226873104906139,1
"Tetrax tetrax",0.181900685002309,1
"Troglodytes troglodytes",-0.00388244866947878,1
"Turdus iliacus",-0.115587842113379,1
"Turdus merula",-0.00258509885309482,1
"Turdus philomelos",-0.0303176468081032,1
"Turdus pilaris",-0.0607143995209288,1
"Turdus torquatus",-0.261341850896958,1
"Turdus viscivorus",-0.107640808145238,1
"Upupa epops",0.053888140892255,1
"Acrocephalus arundinaceus",0.0147456166615889,2
"Acrocephalus palustris",0.0658107711301443,2
"Acrocephalus schoenobaenus",0.087517101012649,2
"Acrocephalus scirpaceus",0.222923509047751,2
"Aegithalos caudatus",-0.024752895743481,2
"Alauda arvensis",-0.106206424589521,2
"Alcedo atthis",0.147537453556088,2
"Anthus campestris",-0.250921869709034,2
"Anthus pratensis",-0.0745453461620241,2
"Anthus spinoletta",-0.391972821380542,2
"Anthus trivialis",-0.283477153163212,2
"Apus apus",0.128382335515998,2
"Caprimulgus europaeus",-0.260776508399623,2
"Carduelis carduelis",-0.0000633523609650528,2
"Carduelis citrinella",-0.757569572911531,2
"Certhia brachydactyla",-0.0293222368076404,2
"Certhia familiaris",-0.44650315285784,2
"Cettia cetti",0.188805931075773,2
"Chloris chloris",0.0767085417830942,2
"Cinclus cinclus",0.0288924006463358,2
"Cisticola juncidis",0.0129271177946298,2
"Clamator glandarius",0.156325485911633,2
"Coccothraustes coccothraustes",-0.229974147138932,2
"Columba livia",0.357377610535693,2
"Columba oenas",0.116526899174746,2
"Columba palumbus",0.00536027250074037,2
"Coracias garrulus",0.360751015008318,2
"Corvus corax",-0.483519617835432,2
"Corvus corone",0.0105036358561934,2
"Corvus frugilegus",0.177356721030673,2
"Corvus monedula",0.106015269700075,2
"Cuculus canorus",-0.168842865359879,2
"Curruca cantillans",-0.45627979858943,2
"Curruca communis",-0.0661018788211051,2
"Curruca curruca",-0.0795268248980369,2
"Curruca hortensis",-0.196658618899598,2
"Curruca melanocephala",0.137607502728027,2
"Curruca undata",-0.471947710089973,2
"Cyanistes caeruleus",0.00517659555351211,2
"Delichon urbicum",0.097593423732838,2
"Dendrocopos major",-0.0965927798932141,2
"Dryobates minor",-0.0688099915480353,2
"Dryocopus martius",-0.328393267160433,2
"Emberiza calandra",-0.119182473459528,2
"Emberiza cia",-0.597033250664309,2
"Emberiza cirlus",-0.10930839727096,2
"Emberiza citrinella",-0.207879347076031,2
"Emberiza hortulana",-0.162540158653153,2
"Emberiza schoeniclus",0.041133687837695,2
"Erithacus rubecula",-0.025005320096894,2
"Ficedula hypoleuca",-0.00675431507603309,2
"Fringilla coelebs",-0.0194991879539747,2
"Fringilla montifringilla",-0.392684443931091,2
"Galerida cristata",0.0653871842419272,2
"Garrulus glandarius",-0.0580194129212066,2
"Hippolais icterina",0.099594347487687,2
"Hippolais polyglotta",-0.0549130103581874,2
"Hirundo rustica",-0.0256312743890641,2
"Jynx torquilla",-0.291102531336799,2
"Lanius collurio",-0.256529047410848,2
"Lanius excubitor",-0.576553433535143,2
"Lanius senator",-0.0597544910136247,2
"Leiopicus medius",-0.303283368390513,2
"Linaria cannabina",-0.0649675234925586,2
"Locustella naevia",-0.118087869847669,2
"Lophophanes cristatus",-0.247850764549327,2
"Loxia curvirostra",-0.690992231722683,2
"Lullula arborea",-0.360109518863302,2
"Luscinia megarhynchos",-0.037555639136066,2
"Luscinia svecica",-0.0638891874817966,2
"Merops apiaster",-0.107763274174858,2
"Motacilla alba",-0.0457119936404974,2
"Motacilla cinerea",0.0412449106839512,2
"Motacilla flava",-0.0020964878849938,2
"Muscicapa striata",-0.0740333080363404,2
"Nucifraga caryocatactes",-0.705274921388359,2
"Oenanthe oenanthe",-0.175229211097692,2
"Oriolus oriolus",-0.110277506225358,2
"Parus major",0.00823638881962884,2
"Passer domesticus",0.100160931194655,2
"Passer montanus",0.103855878796484,2
"Periparus ater",-0.385158746439855,2
