duration_song,centroid_f,Ht_temporal_entropy,LFC_spectral_cover,MFC_spectral_cover,HFC_spectral_cover,Hf_spectral_entropy,number_of_freq_peaks,Hf_Havrda_spectral_entropy,Hf_Renyi_spectral_entropy,Hf_pairedShannon_spectral_entropy,Hf_gamma_spectral_entropy,Hf_GiniSimpson_spectral_entropy,peak_freq,peak_freq_amp_by_mean_amp,peak_f_roi,centroid_f_roi,num_syllables_per_unit_time,syllable_duration_mean,syllable_duration_std,mean_gap_duration,gap_duration_std,sound_per_silence_ratio,sound_per_vocalization_ratio,drumming,birdlife_sci_name,short_or_continuous_song
,4177.4414,0.8994,0.3784,0.3552,0.3661,0.6304,16,0.3331,3.6474,4.9207,2071.6566,0.9764,4016.1094,1.0633,4022.1094,4177.4414,7.6176,0.0587,0.0259,0.074,0.0444,0.7964,0.4474,no,Alauda arvensis,continuous
2.3333,4033.8867,0.7906,0.4092,0.3509,0.3856,0.642,29.6667,0.3331,3.6902,4.9936,2851.55,0.9775,4006.1094,1.1455,4485.1732,4062.5977,6.4444,0.0531,0.0206,0.1185,0.094,0.5105,0.3414,no,Cettia cetti,short
3.4,1929.375,0.8242,0.3597,0.2574,0.33,0.5673,27.6,0.3315,2.9914,4.5133,2150.2274,0.9502,1801.9227,1.957,1885.4422,1963.8281,7.1567,0.0551,0.031,0.0939,0.0666,0.6435,0.3832,no,Corvus corone,short
6,3229.9805,0.8148,0.4088,0.3573,0.3899,0.5755,28,0.3326,3.1387,4.5707,1715.3391,0.9624,3262.9584,3.1923,3263.625,3244.336,6.4873,0.0552,0.022,0.0952,0.0554,0.5952,0.3578,no,Sylvia atricapilla,short
2,3962.1094,0.8278,0.3823,0.3676,0.3712,0.6241,29,0.333,3.4611,4.8799,2462.986,0.9729,4122.482,1.7963,4093.0422,4022.4024,6.8,0.0601,0.0162,0.0996,0.0434,0.6675,0.403,no,Ficedula hypoleuca,short
1,2054.8828,0.7344,0.395,0.2604,0.3508,0.3899,29.4286,0.3233,1.8044,3.3577,449.1019,0.8622,2085.8639,13.7629,2084.2829,2073.3399,6.7143,0.0517,0.0207,0.0954,0.0375,0.3377,0.3377,no,Oriolus oriolus,short
3.25,2411.7188,0.85,0.3754,0.321,0.3594,0.549,28,0.3323,2.9003,4.401,1366.9319,0.9538,2129.2207,3.4756,2122.7041,2454.7852,7,0.0618,0.0338,0.0912,0.0505,0.7183,0.431,no,Turdus merula,short
2.3333,5124.9024,0.8266,0.374,0.2921,0.3361,0.4834,19.8333,0.3303,2.5481,3.9763,973.7914,0.9244,5017.8366,5.7936,5008.8255,5096.1914,8.3056,0.0581,0.0124,0.0748,0.0301,0.771,0.4599,no,Cyanistes caeruleus,short
2,3334.5703,0.8153,0.3709,0.3416,0.3671,0.5785,25,0.3326,3.1866,4.5897,1856.2511,0.9619,3190.8477,2.4434,3194,3346.875,7.119,0.0631,0.0163,0.089,0.034,0.6524,0.4377,no,Fringilla coelebs,short
2.25,7536.6211,0.8585,0.3595,0.2918,0.3283,0.4492,16,0.3305,2.393,3.7599,611.2217,0.9188,7526.7881,6.1978,7486.9883,7568.9209,8.375,0.0555,0.013,0.066,0.0172,0.8899,0.4648,no,Regulus ignicapilla,short
3.4,2988.8086,0.7514,0.3893,0.3239,0.3619,0.5246,21.6,0.3298,2.7418,4.2354,1518.4989,0.9301,2971.7156,5.5787,2971.7156,2962.9687,6.5667,0.0603,0.0254,0.0897,0.0433,0.7104,0.3841,no,Luscinia megarhynchos,short
4.6667,4507.6172,0.7654,0.4016,0.3097,0.3642,0.5728,24.3333,0.3328,3.2329,4.5555,1397.3544,0.965,4524.9062,1.7098,4524.2396,4507.6172,6.6944,0.0493,0.0186,0.1093,0.1323,0.5139,0.3233,no,Phoenicurus ochruros,short
33,3402.2461,0.8501,0.4103,0.3365,0.3801,0.6361,22,0.3331,3.6535,4.9564,2387.6102,0.977,3326.0469,0.5733,3321.0469,3402.2461,5.7879,0.0565,0.0215,0.1151,0.0694,0.4936,0.3272,no,Acrocephalus scirpaceus,short
