"","path","file","name","Nom scientifique / Autorité","latin.name"
"1","9 me´sange charbonnie`re - e´tourneau roselin/19 (Copy of grimpereau des jardins).mp3","19 (Copy of grimpereau des jardins).mp3","(copy of grimpereau des jardins)",NA,"certhia brachydactyla"
"2","4 petit gravelot - goe´land a` ailes blanches/17a Be´casseau semipalme´.mp3","17a Be´casseau semipalme´.mp3","a be´casseau semipalme´",NA,NA
"3","4 petit gravelot - goe´land a` ailes blanches/25a Be´cassin a` long bec.mp3","25a Be´cassin a` long bec.mp3","a be´cassin a` long bec",NA,NA
"4","4 petit gravelot - goe´land a` ailes blanches/24a Chevalier criard.mp3","24a Chevalier criard.mp3","a chevalier criard",NA,NA
"5","4 petit gravelot - goe´land a` ailes blanches/20a Chevalier grivele´.mp3","20a Chevalier grivele´.mp3","a chevalier grivele´",NA,NA
"6","4 petit gravelot - goe´land a` ailes blanches/2a Gravelot kildir.mp3","2a Gravelot kildir.mp3","a gravelot kildir",NA,NA
"7","8 fauvette orphe´e - gobemouche a` demi-collier/36a Pouillot ve´loce tristis.mp3","36a Pouillot ve´loce tristis.mp3","a pouillot ve´loce tristis",NA,NA
"8","7 bergeronnette grise - fauvette a` te^te noire/09 accenteur alpin.mp3","09 accenteur alpin.mp3","accenteur alpin","Prunella collaris (Scopoli, 1769)","Prunella collaris"
"9","7 bergeronnette grise - fauvette a` te^te noire/08 accenteur mouchet.mp3","08 accenteur mouchet.mp3","accenteur mouchet","Prunella modularis (Linnaeus, 1758)","Prunella modularis"
"10","7 bergeronnette grise - fauvette a` te^te noire/13 agrobate roux.mp3","13 agrobate roux.mp3","agrobate roux","Cercotrichas galactotes (Temminck, 1820)","Cercotrichas galactotes"
"11","1 plongeon catmarin - tadorne casarca/27 aigrette garzette.mp3","27 aigrette garzette.mp3","aigrette garzette","Egretta garzetta (Linnaeus, 1766)","Egretta garzetta"
"12","6 huppe fascie´e - pipit a` gorge rousse/30 alouette bilophe.mp3","30 alouette bilophe.mp3","alouette bilophe",NA,"eremophila bilopha"
"13","6 huppe fascie´e - pipit a` gorge rousse/27 alouette calandre.mp3","27 alouette calandre.mp3","alouette calandre","Melanocorypha calandra (Linnaeus, 1766)","Melanocorypha calandra"
"14","6 huppe fascie´e - pipit a` gorge rousse/23 alouette calandrelle.mp3","23 alouette calandrelle.mp3","alouette calandrelle","Calandrella brachydactyla (Leisler, 1814)","Calandrella brachydactyla"
"15","6 huppe fascie´e - pipit a` gorge rousse/28 alouette de Clotbey.mp3","28 alouette de Clotbey.mp3","alouette de clotbey",NA,"ramphocoris clotbey"
"16","6 huppe fascie´e - pipit a` gorge rousse/19 alouette des champs.mp3","19 alouette des champs.mp3","alouette des champs","Alauda arvensis Linnaeus, 1758","Alauda arvensis"
"17","6 huppe fascie´e - pipit a` gorge rousse/29 alouette haussecol.mp3","29 alouette haussecol.mp3","alouette haussecol","Eremophila alpestris (Linnaeus, 1758)","Eremophila alpestris"
"18","6 huppe fascie´e - pipit a` gorge rousse/22 alouette lulu.mp3","22 alouette lulu.mp3","alouette lulu","Lullula arborea (Linnaeus, 1758)","Lullula arborea"
"19","6 huppe fascie´e - pipit a` gorge rousse/24 alouette pispolette.mp3","24 alouette pispolette.mp3","alouette pispolette","Alaudala rufescens (Vieillot, 1819)","Alaudala rufescens"
"20","6 huppe fascie´e - pipit a` gorge rousse/26 ammomane e´le´gante.mp3","26 ammomane e´le´gante.mp3","ammomane e´le´gante","Ammomanes cinctura (Gould, 1839)","Ammomanes cinctura"
"21","6 huppe fascie´e - pipit a` gorge rousse/25 ammomane isabelle.mp3","25 ammomane isabelle.mp3","ammomane isabelle",NA,"ammomanes deserti"
"22","2 canard mandarin - autour sombre/22 arlequin plongeur.mp3","22 arlequin plongeur.mp3","arlequin plongeur",NA,"histrionicus histrionicus"
"23","10 loriot d'europe - bruant striole´/08 astrild ondule´.mp3","08 astrild ondule´.mp3","astrild ondule´",NA,"estrilda astrild"
"24","2 canard mandarin - autour sombre/56 autour des palombe.mp3","56 autour des palombe.mp3","autour des palombe",NA,"accipiter gentilis"
