birdlife_sci_name,Recording_ID,species,label_drum,labeler,unique_id_label,low_freq_range_sp,high_freq_range_sp,drumming,relative_path,index,file_nam_label,min_t,max_t,label_id,rec_from,channel,full_path,path_cd,duration_song,unique_id,English_name,order_name,family_name,song_description_collins_bird_guide,short_or_continuous_song,Country,Latitude,Longitude,Vocalization_type,species_by_labeler,centroid_f,Ht_temporal_entropy,H_waveform,H_spectrogram_mean,LFC_spectral_cover,MFC_spectral_cover,HFC_spectral_cover,Hf_spectral_entropy,number_of_freq_peaks,ACTfract_mean_proportion_of_points_above_6dB_threshold,Hf_Havrda_spectral_entropy,Hf_Renyi_spectral_entropy,Hf_pairedShannon_spectral_entropy,Hf_gamma_spectral_entropy,Hf_GiniSimpson_spectral_entropy,sm_spectral_mean,sv_spectral_var,ss_spectral_skewness,sk_spectral_kurtosis,peak_freq,peak_freq_amp_by_mean_amp,min_freq,spectral_bandwidth_50,spectral_bandwidth_90,spectral_min_or_10_quantile,spectral_max_or_90_quantile,snr_freq,num_syllables,peak_f_roi,spectral_mean_on_roi_avg_spectrum,spectral_variance_on_roi_avg_spectrum,centroid_f_roi,num_syllables_per_unit_time,syllable_duration_mean,syllable_duration_std,syllable_duration_median,syllable_duration_25percentile,syllable_duration_75percentile,syllable_duration_iqr,npvi_ioi,ugof_isochronous,ioi_duration_mean,ioi_duration_std,ioi_duration_min,ioi_duration_max,ioi_duration_median,ioi_duration_25percentile,ioi_duration_75percentile,ioi_duration_iqr,gap_duration_mean,gap_duration_std,gap_duration_min,gap_duration_max,gap_duration_median,gap_duration_25percentile,gap_duration_75percentile,gap_duration_iqr,total_len_syllables,total_length_gaps,sound_per_silence_ratio,sound_per_vocalization_ratio,scientific_name,scientificName
Prunella collaris,-1,Alpine_Accentor,no,MB,Alpine_Accentor_cd_1,1000,12000,no,../songs_CD/CD3/Jean C. Roché - Acenteur alpin - Prunella collaris.wav,0,Jean C. Roché - Acenteur alpin - Prunella collaris.txt,14.639334,19.790925,Jean C. Roché - Acenteur alpin - Prunella collaris_R,cd,R,/home/mbusana/acoucene/songs_CD/CD3/Jean C. Roché - Acenteur alpin - Prunella collaris.wav,../songs_CD/CD3/Jean C. Roché - Acenteur alpin - Prunella collaris.wav,5,1,Alpine Accentor,PASSERIFORMES,PRUNELLIDAE,"On rising, gives muffled lark-like rolling calls, e.g. drrü drrü, drrip"""""""""""""""", """"""""""""""""tschirr'. May also utter stifled click like a chat. Song a drawn-out, creaking and trilling phrase with no clear structure: some bubbling notes recall Crested T others are squeaky. Generally delivered from perch, oc sionally in fluttering song-flight",,,,,,Alpine_Accentor_MB,3316.11328125,0.82984179134294,0.998902345188744,0.443744490064937,0.405462899931927,0.385228046289993,0.40727831551638,0.602313681226047,10,0.344805671375085,0.333074437429371,3.58023610179509,4.7442014054448,1461.44006002923,0.973809377917918,2.27418570375863E-05,1.34029615525599E-07,42.9608173144404,3088.61854078864,3629.51171875,1.18573651465585,22050,775.1953125,1464.2578125,2670.1171875,3919.04296875,32.8605074430053,35,3624.51171875,5.2385371932639E-05,3.5393251337422E-08,3359.1796875,7,0.0558114285714286,0.0284964631595754,0.05079,0.039185,0.0558750000000002,0.0166900000000002,21.3095930461299,0.52134436,0.147344117647059,0.0861329634623684,0.0566000000000004,0.37297,0.110295,0.0769199999999999,0.2115225,0.1346025,0.0915132352941176,0.0639606231217388,0.0101599999999999,0.2351,0.0602250000000002,0.0413574999999997,0.1233575,0.0820000000000004,1.9534,3.11145,0.627810184961995,0.39068,Prunella collaris,Prunella collaris
Prunella collaris,-1,Alpine_Accentor,no,MB,Alpine_Accentor_cd_2,1000,12000,no,../songs_CD/CD3/Jean C. Roché - Acenteur alpin - Prunella collaris.wav,1,Jean C. Roché - Acenteur alpin - Prunella collaris.txt,21.438332,25.206983,2,cd,L,/home/mbusana/acoucene/songs_CD/CD3/Jean C. Roché - Acenteur alpin - Prunella collaris.wav,../songs_CD/CD3/Jean C. Roché - Acenteur alpin - Prunella collaris.wav,4,2,Alpine Accentor,PASSERIFORMES,PRUNELLIDAE,"On rising, gives muffled lark-like rolling calls, e.g. drrü drrü, drrip"""""""""""""""", """"""""""""""""tschirr'. May also utter stifled click like a chat. Song a drawn-out, creaking and trilling phrase with no clear structure: some bubbling notes recall Crested T others are squeaky. Generally delivered from perch, oc sionally in fluttering song-flight",,,,,,Alpine_Accentor_MB,3402.24609375,0.841434378996112,0.998120423365064,0.424855465866431,0.387037899968935,0.380042604180535,0.379858325100296,0.610166518296136,11,0.325714993010252,0.333094849813731,3.62129903077857,4.79379230343851,1550.68843769544,0.974993233262763,4.13455950958478E-05,3.43241319808728E-07,30.4497689693675,1341.67815595186,3417.1796875,1.5341054944193,22050,732.12890625,1550.390625,2670.1171875,3962.109375,33.2394832479142,25,3408.1796875,9.72304167634555E-05,1.14109386193961E-07,3402.24609375,6.25,0.0525916,0.0147250698017587,0.0507900000000001,0.0435400000000001,0.0609500000000001,0.0174099999999999,24.4813819569821,0.50668865,0.149417916666667,0.0676072012300445,0.0682100000000001,0.27574,0.13569,0.0881599999999999,0.21442,0.12626,0.0968116666666667,0.0581761260932887,0.0304799999999998,0.20898,0.080545,0.0442649999999999,0.150205,0.10594,1.31479,2.32348,0.565871021054625,0.3286975,Prunella collaris,Prunella collaris
Prunella collaris,-1,Alpine_Accentor,no,MB,Alpine_Accentor_cd_3,1000,12000,no,../songs_CD/CD3/Jean C. Roché - Acenteur alpin - Prunella collaris.wav,2,Jean C. Roché - Acenteur alpin - Prunella collaris.txt,26.589923,33.747054,3,cd,L,/home/mbusana/acoucene/songs_CD/CD3/Jean C. Roché - Acenteur alpin - Prunella collaris.wav,../songs_CD/CD3/Jean C. Roché - Acenteur alpin - Prunella collaris.wav,7,3,Alpine Accentor,PASSERIFORMES,PRUNELLIDAE,"On rising, gives muffled lark-like rolling calls, e.g. drrü drrü, drrip"""""""""""""""", """"""""""""""""tschirr'. May also utter stifled click like a chat. Song a drawn-out, creaking and trilling phrase with no clear structure: some bubbling notes recall Crested T others are squeaky. Generally delivered from perch, oc sionally in fluttering song-flight",,,,,,Alpine_Accentor_MB,3617.578125,0.845901101601339,0.998951430975779,0.4578175548497,0.372634198074727,0.367454490361979,0.368077744795901,0.627532074022767,14,0.301907427802252,0.333094236775095,3.62001539479425,4.90249482495048,2099.83228835068,0.975735062075509,1.9340780596796E-05,1.52218138104152E-07,64.6806493091253,6424.47412597046,3696.64453125,1.02972639557596,22050,732.12890625,1937.98828125,2842.3828125,4263.57421875,29.9202318571268,50,3699.64453125,4.20555904080448E-05,2.15853465917302E-08,3617.578125,7.14285714285714,0.05625,0.0248605308035998,0.050065,0.0435399999999995,0.0624000000000002,0.0188600000000007,22.4898067753632,0.46999365,0.135765714285714,0.0693035943644825,0.05369,0.36862,0.12335,0.0870700000000002,0.16544,0.0783700000000001,0.0807963265306123,0.0561070627331929,0.0188699999999997,0.27428,0.0667599999999999,0.0420900000000009,0.08127,0.0391799999999991,2.8125,3.95902,0.710403079549989,0.401785714285714,Prunella collaris,Prunella collaris
Pyrrhocorax graculus,-1,Alpine_Chough,no,MB,Alpine_Chough_cd_1,1000,12000,no,../songs_CD/CD4/Jean C. Roché - Chocard à bec jaune - Pyrrhocorax graculus.wav,3,Jean C. Roché - Chocard à bec jaune - Pyrrhocorax graculus.txt,0.783487,1.611669,Jean C. Roché - Chocard à bec jaune - Pyrrhocorax graculus_R,cd,R,/home/mbusana/acoucene/songs_CD/CD4/Jean C. Roché - Chocard à bec jaune - Pyrrhocorax graculus.wav,../songs_CD/CD4/Jean C. Roché - Chocard à bec jaune - Pyrrhocorax graculus.wav,1,1,Alpine Chough,PASSERIFORMES,CORVIDAE,"At least 90% of repertoire is characteristic and cannot be confused with Chough's. Commonest call from wandering flocks, e.g. around top stations at ski resorts, is a high, rolling'zirrrrr'with an almost electric quality, also a piercing, whizzing ziieh' and something be tween the two, e.g. zrr rieh'.Anxiety-calla slightly deeper and fuller 'krrrrü'. Occasional calls are more like cough’s",,,,,,Alpine_Chough_MB,3273.046875,0.810640464663159,0.998422506481198,0.473549449638866,0.363095238095238,0.257616986188415,0.276331679765156,0.561351195156299,24,0.201789096320346,0.332009375891322,2.76425883840576,4.47607506808618,2023.98151481134,0.949755361461514,1.92355450420358E-07,8.56446958334541E-12,27.3256660348479,889.710392741134,3229.9140625,0.213115099826526,22050,258.3984375,1679.58984375,2799.31640625,3832.91015625,16.4867518907667,4,3254.98046875,4.54092346830987E-07,5.36627991268324E-12,3229.98046875,4,0.056235,0.0347114414374665,0.071835,0.053335,0.074735,0.0214,53.1066290922874,0.6324057,0.193016666666667,0.127232359702851,0.0667599999999999,0.36717,0.14512,0.10594,0.256145,0.150205,0.141256666666667,0.107438062880692,0.0624,0.29316,0.06821,0.065305,0.180685,0.11538,0.22494,0.42377,0.22494,0.22494,Pyrrhocorax graculus,Pyrrhocorax graculus
Pyrrhocorax graculus,-1,Alpine_Chough,no,MB,Alpine_Chough_cd_10,1000,12000,no,../songs_CD/CD4/Jean C. Roché - Chocard à bec jaune - Pyrrhocorax graculus.wav,12,Jean C. Roché - Chocard à bec jaune - Pyrrhocorax graculus.txt,11.908733,12.381979,10,cd,L,/home/mbusana/acoucene/songs_CD/CD4/Jean C. Roché - Chocard à bec jaune - Pyrrhocorax graculus.wav,../songs_CD/CD4/Jean C. Roché - Chocard à bec jaune - Pyrrhocorax graculus.wav,0,10,Alpine Chough,PASSERIFORMES,CORVIDAE,"At least 90% of repertoire is characteristic and cannot be confused with Chough's. Commonest call from wandering flocks, e.g. around top stations at ski resorts, is a high, rolling'zirrrrr'with an almost electric quality, also a piercing, whizzing ziieh' and something be tween the two, e.g. zrr rieh'.Anxiety-calla slightly deeper and fuller 'krrrrü'. Occasional calls are more like cough’s",,,,,,Alpine_Chough_MB,2540.91796875,0.830740483757571,0.99795381134576,0.367603465356944,0.334625322997416,0.210335917312662,0.282130618491533,0.356094089192544,35,0.16913456879845,0.321438426390833,1.66651633491738,3.13366869139973,492.713918043596,0.838079747608724,9.0245380707556E-07,2.68809722810935E-10,35.2953679568517,1574.47355970624,2508.78515625,1.35854606852259,22050,129.19921875,387.59765625,2411.71875,2627.05078125,6.21846348138322,2,2519.8515625,2.43430657645101E-06,5.80016821438298E-10,2540.91796875,2,0.065305,0.0123107290604578,0.065305,0.0609525,0.0696575,0.00870500000000002,0,0,0.08272,0,0.08272,0.08272,0.08272,0.08272,0.08272,0,0.02612,0,0.02612,0.02612,0.02612,0.02612,0.02612,0,0.13061,0.02612,0.13061,0.13061,Pyrrhocorax graculus,Pyrrhocorax graculus
Pyrrhocorax graculus,-1,Alpine_Chough,no,MB,Alpine_Chough_cd_11,1000,12000,no,../songs_CD/CD4/Jean C. Roché - Chocard à bec jaune - Pyrrhocorax graculus.wav,13,Jean C. Roché - Chocard à bec jaune - Pyrrhocorax graculus.txt,14.206609,14.721923,11,cd,L,/home/mbusana/acoucene/songs_CD/CD4/Jean C. Roché - Chocard à bec jaune - Pyrrhocorax graculus.wav,../songs_CD/CD4/Jean C. Roché - Chocard à bec jaune - Pyrrhocorax graculus.wav,1,11,Alpine Chough,PASSERIFORMES,CORVIDAE,"At least 90% of repertoire is characteristic and cannot be confused with Chough's. Commonest call from wandering flocks, e.g. around top stations at ski resorts, is a high, rolling'zirrrrr'with an almost electric quality, also a piercing, whizzing ziieh' and something be tween the two, e.g. zrr rieh'.Anxiety-calla slightly deeper and fuller 'krrrrü'. Occasional calls are more like cough’s",,,,,,Alpine_Chough_MB,2497.8515625,0.788719115992871,0.997717704217544,0.380398299472626,0.353427895981088,0.307159743329956,0.335616229872462,0.33987864486669,33,0.261483266843972,0.320091656829948,1.61288691184926,3.02462394202168,476.985848725698,0.823825029689364,1.03542953136833E-05,4.07466870941987E-08,34.9093288934478,1522.56442673201,2521.8515625,5.02992758358411,22050,86.1328125,301.46484375,2411.71875,2583.984375,8.54248817578361,1,2520.8515625,3.89344962422974E-05,1.61615077007147E-07,2497.8515625,1,0.08563,,0.08563,0.08563,0.08563,0,0,0,,,,,,,,,,,,,,,,,0.08563,0,0.08563,0.08563,Pyrrhocorax graculus,Pyrrhocorax graculus
Pyrrhocorax graculus,-1,Alpine_Chough,no,MB,Alpine_Chough_cd_12,1000,12000,no,../songs_CD/CD4/Jean C. Roché - Chocard à bec jaune - Pyrrhocorax graculus.wav,14,Jean C. Roché - Chocard à bec jaune - Pyrrhocorax graculus.txt,15.459399,16.479509,12,cd,L,/home/mbusana/acoucene/songs_CD/CD4/Jean C. Roché - Chocard à bec jaune - Pyrrhocorax graculus.wav,../songs_CD/CD4/Jean C. Roché - Chocard à bec jaune - Pyrrhocorax graculus.wav,1,12,Alpine Chough,PASSERIFORMES,CORVIDAE,"At least 90% of repertoire is characteristic and cannot be confused with Chough's. Commonest call from wandering flocks, e.g. around top stations at ski resorts, is a high, rolling'zirrrrr'with an almost electric quality, also a piercing, whizzing ziieh' and something be tween the two, e.g. zrr rieh'.Anxiety-calla slightly deeper and fuller 'krrrrü'. Occasional calls are more like cough’s",,,,,,Alpine_Chough_MB,2583.984375,0.786019159287044,0.998353944743647,0.446274798109063,0.39233682983683,0.384498834498835,0.373960803145353,0.495537646855914,29,0.329415701486014,0.330916221863605,2.46328488530623,4.05387708080417,1454.15337367453,0.927666474732703,1.91250257077061E-05,1.1213758065985E-07,34.8132290785183,1571.41449506672,2534.8515625,3.14827606457013,22050,215.33203125,1119.7265625,2325.5859375,2842.3828125,19.8084189317183,2,2533.8515625,7.97708621038906E-05,2.95423871883874E-07,2583.984375,2,0.07982,0.0369392582491852,0.07982,0.0667600000000001,0.09288,0.02612,0,0,0.69224,0,0.69224,0.69224,0.69224,0.69224,0.69224,0,0.5863,0,0.5863,0.5863,0.5863,0.5863,0.5863,0,0.15964,0.5863,0.15964,0.15964,Pyrrhocorax graculus,Pyrrhocorax graculus
Pyrrhocorax graculus,-1,Alpine_Chough,no,MB,Alpine_Chough_cd_13,1000,12000,no,../songs_CD/CD4/Jean C. Roché - Chocard à bec jaune - Pyrrhocorax graculus.wav,15,Jean C. Roché - Chocard à bec jaune - Pyrrhocorax graculus.txt,16.780547,17.23276,,cd,L,/home/mbusana/acoucene/songs_CD/CD4/Jean C. Roché - Chocard à bec jaune - Pyrrhocorax graculus.wav,../songs_CD/CD4/Jean C. Roché - Chocard à bec jaune - Pyrrhocorax graculus.wav,0,13,Alpine Chough,PASSERIFORMES,CORVIDAE,"At least 90% of repertoire is characteristic and cannot be confused with Chough's. Commonest call from wandering flocks, e.g. around top stations at ski resorts, is a high, rolling'zirrrrr'with an almost electric quality, also a piercing, whizzing ziieh' and something be tween the two, e.g. zrr rieh'.Anxiety-calla slightly deeper and fuller 'krrrrü'. Occasional calls are more like cough’s",,,,,,Alpine_Chough_MB,2756.25,0.866824622836614,0.997469662499077,0.475585808968133,0.330284552845528,0.295354239256678,0.313618758505182,0.507453289963745,28,0.212493648373984,0.331486342175007,2.5977925380772,4.1335344344979,1294.93181506669,0.937700075949239,3.23568650857414E-05,1.0790866218403E-07,18.5877458283211,455.703770222752,2814.25,2.77167681229157,22050,258.3984375,990.52734375,2454.78515625,3143.84765625,6.01796867425851,2,2811.25,6.26803958384188E-05,1.40150378990982E-07,2756.25,2,0.0878,0.0338704148188356,0.0878,0.075825,0.099775,0.02395,0,0,0.10739,0,0.10739,0.10739,0.10739,0.10739,0.10739,0,0.04354,0,0.04354,0.04354,0.04354,0.04354,0.04354,0,0.1756,0.04354,0.1756,0.1756,Pyrrhocorax graculus,Pyrrhocorax graculus
Pyrrhocorax graculus,-1,Alpine_Chough,no,MB,Alpine_Chough_cd_14,1000,12000,no,../songs_CD/CD4/Jean C. Roché - Chocard à bec jaune - Pyrrhocorax graculus.wav,16,Jean C. Roché - Chocard à bec jaune - Pyrrhocorax graculus.txt,18.158221,18.689309,,cd,L,/home/mbusana/acoucene/songs_CD/CD4/Jean C. Roché - Chocard à bec jaune - Pyrrhocorax graculus.wav,../songs_CD/CD4/Jean C. Roché - Chocard à bec jaune - Pyrrhocorax graculus.wav,1,14,Alpine Chough,PASSERIFORMES,CORVIDAE,"At least 90% of repertoire is characteristic and cannot be confused with Chough's. Commonest call from wandering flocks, e.g. around top stations at ski resorts, is a high, rolling'zirrrrr'with an almost electric quality, also a piercing, whizzing ziieh' and something be tween the two, e.g. zrr rieh'.Anxiety-calla slightly deeper and fuller 'krrrrü'. Occasional calls are more like cough’s",,,,,,Alpine_Chough_MB,3617.578125,0.834874850443034,0.998221476183971,0.503699778555623,0.300228310502283,0.331343770384866,0.341348697748251,0.621719593649819,31,0.269450984589041,0.332960738983702,3.39820398797358,4.86407795712908,2591.74915277475,0.971559782198607,2.0709286891664E-05,6.07419291178475E-08,28.7935527521651,1225.02309050437,3268.98046875,0.994781294351081,22050,645.99609375,1981.0546875,2842.3828125,4435.83984375,14.4215188822813,3,3303.046875,4.24525187883377E-05,3.89789639739216E-08,3660.64453125,3,0.0493433333333333,0.0133036548862835,0.05224,0.043535,0.0566,0.013065,29.9995078013487,0.4411268,0.101585,0.030475,0.07111,0.13206,0.101585,0.0863475,0.1168225,0.030475,0.05805,0.02177,0.03628,0.07982,0.05805,0.047165,0.068935,0.02177,0.14803,0.1161,0.14803,0.14803,Pyrrhocorax graculus,Pyrrhocorax graculus
Pyrrhocorax graculus,-1,Alpine_Chough,no,MB,Alpine_Chough_cd_15,1000,12000,no,../songs_CD/CD4/Jean C. Roché - Chocard à bec jaune - Pyrrhocorax graculus.wav,17,Jean C. Roché - Chocard à bec jaune - Pyrrhocorax graculus.txt,19.856651,20.377223,,cd,L,/home/mbusana/acoucene/songs_CD/CD4/Jean C. Roché - Chocard à bec jaune - Pyrrhocorax graculus.wav,../songs_CD/CD4/Jean C. Roché - Chocard à bec jaune - Pyrrhocorax graculus.wav,1,15,Alpine Chough,PASSERIFORMES,CORVIDAE,"At least 90% of repertoire is characteristic and cannot be confused with Chough's. Commonest call from wandering flocks, e.g. around top stations at ski resorts, is a high, rolling'zirrrrr'with an almost electric quality, also a piercing, whizzing ziieh' and something be tween the two, e.g. zrr rieh'.Anxiety-calla slightly deeper and fuller 'krrrrü'. Occasional calls are more like cough’s",,,,,,Alpine_Chough_MB,3445.3125,0.888670932060821,0.995760942546828,0.479101180081145,0.291375291375291,0.333766233766234,0.30168972658243,0.655472535794162,26,0.244140625,0.333099391342737,3.63091254405358,5.07779421019485,3150.50555235496,0.977725893352806,2.54800775487921E-05,5.23020967192081E-08,17.6670260936339,424.776793398793,3284.98046875,0.862858523518604,22050,1033.59375,2411.71875,2583.984375,4565.0390625,12.3003335247459,3,3297.046875,5.54201685747081E-05,4.98374594117513E-08,3445.3125,3,0.0425666666666667,0.0254815704644226,0.04499,0.030475,0.05587,0.025395,9.09266130198041,0.465231,0.103765,0.00943499999999997,0.09433,0.1132,0.103765,0.0990475,0.1084825,0.00943499999999997,0.0624099999999999,0.03483,0.0275799999999999,0.0972399999999999,0.0624099999999999,0.0449949999999999,0.0798249999999999,0.03483,0.1277,0.12482,0.1277,0.1277,Pyrrhocorax graculus,Pyrrhocorax graculus
