birdlife_sci_name,drumming,low_freq_range_sp,high_freq_range_sp,English_name,order_name,family_name,short_or_continuous_song,Ht_temporal_entropy,Hf_spectral_entropy,number_of_freq_peaks,peak_freq,ACTfract_mean_proportion_of_points_above_6dB_threshold,spectral_bandwidth_90,ugof_isochronous,npvi_ioi,num_syllables_per_unit_time,num_syllables,duration_song,syllable_duration_median,ioi_duration_median,count,number_of_freq_peaks_std,number_of_freq_peaks_cqv,peak_freq_std,peak_freq_cqv,syllable_duration_median_std,syllable_duration_median_cqv,ioi_duration_median_std,ioi_duration_median_cqv,npvi_ioi_std,npvi_ioi_cqv
Alauda arvensis,no,1000,12000,Eurasian Skylark,PASSERIFORMES,ALAUDIDAE,continuous,0.8994,0.6304,16,4016.1094,0.2968,1851.8555,0.5233,21.3565,7.6176,259,,0.0522,0.1248,1,0,0,0,0,0,0,0,0,0,0
Cettia cetti,no,1000,12000,Cetti's Warbler,PASSERIFORMES,SCOTOCERCIDAE,short,0.7906,0.642,29.6667,4006.1094,0.3273,1952.3438,0.4828,27.382,6.4444,14.3333,2.3333,0.0547,0.1502,3,5.5076,9.2437,637.9044,6.8829,0.003,2.6692,0.0188,6.0983,5.3187,8.3764
Corvus corone,no,1000,12000,Carrion Crow,PASSERIFORMES,CORVIDAE,short,0.8242,0.5673,27.6,1801.9227,0.2396,1688.2031,0.5236,28.7789,7.1567,25.4,3.4,0.0495,0.1347,5,5.5946,14.2857,385.0609,18.6348,0.0096,14.2942,0.048,20.9735,7.4763,8.3501
Sylvia atricapilla,no,1000,12000,Eurasian Blackcap,PASSERIFORMES,SYLVIIDAE,short,0.8148,0.5755,28,3262.9583,0.3279,1449.9023,0.4683,23.5393,6.4873,39,6,0.0522,0.1413,3,1.7321,2.7027,84.9258,1.2758,0.0015,1.3876,0.0102,3.5995,3.867,8.2171
Ficedula hypoleuca,no,1000,12000,European Pied Flycatcher,PASSERIFORMES,MUSCICAPIDAE,short,0.8277,0.6241,29,4122.482,0.3078,2205,0.4881,19.9369,6.8,13.6,2,0.0566,0.1685,5,3.2404,8.4746,223.7745,1.9736,0.0094,1.3593,0.0371,14.9351,9.98,22.2514
Oriolus oriolus,no,1000,12000,Eurasian Golden Oriole,PASSERIFORMES,ORIOLIDAE,short,0.7345,0.3899,29.4286,2085.8638,0.2554,682.9102,0.509,16.7078,6.7143,6.7143,1,0.0511,0.138,7,3.4572,5.1724,214.7455,5.8256,0.0094,3.4524,0.027,13.9821,6.8308,32.1163
Turdus merula,no,1000,12000,Common Blackbird,PASSERIFORMES,TURDIDAE,short,0.85,0.549,28,2129.2207,0.2809,1658.0566,0.4686,25.1986,7,22.25,3.25,0.0562,0.1424,4,1.4142,2.6549,67.9425,1.7906,0.0043,4.1775,0.0116,2.7848,5.7638,15.7094
Cyanistes caeruleus,no,1000,12000,Eurasian Blue Tit,PASSERIFORMES,PARIDAE,short,0.8266,0.4834,19.8333,5017.8366,0.2455,1457.0801,0.4841,10.9574,8.3056,19.1667,2.3333,0.0553,0.1246,6,5.8452,21.25,385.6253,4.8531,0.0146,18.3383,0.0456,24.8562,4.1578,29.4255
Fringilla coelebs,no,1000,12000,Common Chaffinch,PASSERIFORMES,FRINGILLIDAE,short,0.8153,0.5785,25,3190.8477,0.2946,1525.7812,0.3872,9.1774,7.119,14.2857,2,0.0617,0.1443,7,2.3094,4,181.448,4.0615,0.0174,13.4809,0.0383,21.6303,5.2162,17.0672
Regulus ignicapilla,no,1000,12000,Common Firecrest,PASSERIFORMES,REGULIDAE,short,0.8585,0.4492,16,7526.7881,0.2388,667.5293,0.4907,6.6804,8.375,18.75,2.25,0.0546,0.1161,4,5.3541,25.3968,166.2298,1.7172,0.0014,1.1699,0.0021,0.9343,2.4252,19.5204
Luscinia megarhynchos,no,1000,12000,Common Nightingale,PASSERIFORMES,MUSCICAPIDAE,short,0.7514,0.5245,21.6,2971.7156,0.2938,1567.6172,0.4972,17.2763,6.5667,22.4,3.4,0.0549,0.1421,5,3.3615,2.2222,467.4379,8.4654,0.0052,7.8925,0.0447,8.7722,9.6969,55.6853
Phoenicurus ochruros,no,1000,12000,Black Redstart,PASSERIFORMES,MUSCICAPIDAE,short,0.7654,0.5728,24.3333,4524.9062,0.3033,1291.9922,0.514,19.4567,6.6944,30,4.6667,0.051,0.125,3,2.5166,5.1546,446.5616,4.9337,0.0051,5.0007,0.0166,6.5708,3.1506,7.754
Acrocephalus scirpaceus,no,1000,12000,Eurasian Reed Warbler,PASSERIFORMES,ACROCEPHALIDAE,short,0.8501,0.6361,22,3326.0469,0.3203,1851.8555,0.4862,22.9857,5.7879,191,33,0.0523,0.1654,1,0,0,0,0,0,0,0,0,0,0
Sitta europaea,no,1000,12000,Eurasian Nuthatch,PASSERIFORMES,SITTIDAE,short,0.8368,0.4365,18.8182,3191.2173,0.2681,775.1953,0.4759,13.2582,7.697,18.9091,2.6364,0.0486,0.1425,11,5.1927,15.3846,225.4674,2.2509,0.0116,15.4736,0.0587,25.1894,13.6523,85.8081
Certhia brachydactyla,no,1000,12000,Short-toed Treecreeper,PASSERIFORMES,CERTHIIDAE,short,0.8757,0.5836,30.5,5210.4688,0.2242,1647.29,0.4746,25.7397,8.5,8.5,1,0.06,0.1208,4,4.6547,5.8333,295.6496,4.8463,7e-04,0.7526,0.0221,8.0969,11.6496,22.5327
Passer domesticus,no,1000,12000,House Sparrow,PASSERIFORMES,PASSERIDAE,short,0.9148,0.5794,37.6,3715.4578,0.1645,1860.4688,0,0,1.4,1.4,0,0.0633,0.0936,5,3.5071,5.2632,890.067,10.6356,0.0152,19.7557,0.0031,1.1618,0,0
Parus major,no,1000,12000,Great Tit,PASSERIFORMES,PARIDAE,short,0.8458,0.471,22.4,4165.7484,0.2973,1309.2188,0.5087,25.8361,5.8333,20.4,3.4,0.0569,0.1548,5,3.6469,9.0909,410.6261,0.9278,0.0071,9.4297,0.0618,35.482,13.198,24.0881
Phylloscopus trochilus,no,1000,12000,Willow Warbler,PASSERIFORMES,PHYLLOSCOPIDAE,short,0.8095,0.6097,21.3333,3086.6927,0.2963,1937.9883,0.4896,9.0538,8.7778,26.3333,3,0.0513,0.1272,3,2.5166,5.8824,29.1741,0.4619,8e-04,0.7134,0.0018,0.7136,2.8407,14.7397
Erithacus rubecula,no,1000,12000,European Robin,PASSERIFORMES,MUSCICAPIDAE,short,0.8301,0.5906,21.25,4314.5908,0.2834,1884.1553,0.5305,19.0011,8.1833,24.25,3,0.0475,0.1039,4,8.3016,13.1429,49.459,0.401,0.0042,2.6633,0.0122,4.6124,4.7764,12.8349
Serinus serinus,no,1000,12000,European Serin,PASSERIFORMES,FRINGILLIDAE,short,0.8867,0.7094,37.3333,6807.4258,0.2547,3402.2461,0.4181,17.4643,9.9167,28.6667,3,0.045,0.0953,3,2.0817,2.6667,440.816,2.9657,0,0,0.007,3.6062,1.5506,4.2839
Garrulus glandarius,no,1000,12000,Eurasian Jay,PASSERIFORMES,CORVIDAE,short,0.9051,0.6666,33,2840.9031,0.2184,2583.9844,0.458,22.5785,6,6,1,0.0508,0.1157,5,3.5355,2.9412,519.9895,3.8813,0.0054,8.5647,0.0283,12.3884,1.0854,3.3265
Emberiza cirlus,no,1000,12000,Cirl Bunting,PASSERIFORMES,EMBERIZIDAE,short,0.8763,0.5033,23.2,4164.7617,0.2448,1162.793,0.5166,5.1065,9.2,18.4,2,0.0496,0.1049,5,2.7749,6.383,178.3733,1.1633,0.0043,1.4913,0.0148,1.4426,7.5255,9.3272
Cuculus canorus,no,100,1000,Common Cuckoo,CUCULIFORMES,CUCULIDAE,short,0.7326,0.2728,1.6,627.9031,0.385,241.1719,0.2446,27.2066,2.8,2.8,1,0.0801,0.2278,5,0.5477,33.3333,81.8126,12.2449,0.0219,23.8135,0.058,22.0322,26.5109,100
Phylloscopus collybita,no,1000,12000,Common Chiffchaff,PASSERIFORMES,PHYLLOSCOPIDAE,short,0.7558,0.6082,22.8,4080.6289,0.3112,1731.2695,0.4927,25.2792,5.0833,18.6,3.6,0.054,0.1911,5,4.5497,8.6957,295.6433,2.3404,0.0112,9.8602,0.0633,30.2232,13.8906,43.6866
Lullula arborea,no,1000,12000,Woodlark,PASSERIFORMES,ALAUDIDAE,short,0.7868,0.5192,8.6,3672.4047,0.3085,1180.0195,0.4733,14.4608,7.0667,26.8,3.8,0.0547,0.1387,5,2.6077,25,503.637,12.4965,0.007,9.6786,0.0317,18.6795,9.8734,48.5373
Emberiza citrinella,no,1000,12000,Yellowhammer,PASSERIFORMES,EMBERIZIDAE,long,0.8532,0.5932,22.5,4747.7715,0.2429,1991.8213,0.5102,15.3274,9.625,26,2.75,0.0501,0.0974,4,3.4157,7.6923,638.4415,8.4164,0.0019,2.1683,0.0019,0.8396,3.9933,11.2733
Curruca communis,no,1000,12000,Common Whitethroat,PASSERIFORMES,SYLVIIDAE,long,0.8766,0.6054,31,3182.8477,0.2556,1757.1094,0.5159,17.5322,8.7714,38.8,5.4,0.0518,0.1199,5,2.4495,4.918,485.2365,9.308,0.0014,1.412,0.011,5.5893,4.2125,7.9674
Turdus viscivorus,no,1000,12000,Mistle Thrush,PASSERIFORMES,TURDIDAE,long,0.8497,0.4366,25.6,2466.9453,0.2485,568.4766,0.4355,27.8939,6.9,8.4,1.2,0.0607,0.1765,5,2.6077,8,151.1951,5.0707,0.0144,18.9882,0.019,3.6091,11.391,21.5035
