code_STOCEPS;species_Thuiller;species_STOCEPS
DENMIN;Dryobates minor;Dendrocopos minor
DENMED;Leiopicus medius;Dendrocopos medius
PARMON;Poecile montanus;Parus montanus
PARPAL;Poecile palustris;Parus palustris
PARATE;Periparus ater;Parus ater
PARCAE;Cyanistes caeruleus;Parus caeruleus
PARCRI;Lophophanes cristatus;Parus cristatus
SYLCON;Curruca conspicillata;Sylvia conspicillata
SYLUND;Curruca undata;Sylvia undata
SYLCAN;Curruca cantillans;Sylvia cantillans
SYLMEL;Curruca melanocephala;Sylvia melanocephala
SYLCOM;Curruca communis;Sylvia communis
SYLCUR;Curruca curruca;Sylvia curruca
SYLHOR;Curruca hortensis;Sylvia hortensis
HIRDAU;Cecropis daurica;Hirundo daurica
DELURB;Delichon urbicum;Delichon urbica
ALACAL;Melanocorypha calandra;Alauda calandra
FRIMON;Fringilla montifringilla;NA
CARCHL;Chloris chloris;Carduellis chloris
CARCIT;Carduelis citrinella;Carduellis citrinella
CARSPI;Spinus spinus;Carduelis spinus
CARCAN;Linaria cannabina;Carduelis cannabina
CARFLA;Acanthis flammea;Carduelis flammea
MILCAL;Emberiza calandra;Milaria calandra
TURILI;Turdus iliacus;NA
STUUNI;Sturnus unicolor;NA
SAXTOR;Saxicola torquatus;Saxicola torquata
FICALB;Ficedula albicollis;NA
REGIGN;Regulus ignicapilla;Regulus ignicapillus
APUMEL;Tachymarptis melba;Apus melba
APUPAL;Apus pallidus;NA
