"Ht_temporal_entropy" "Hf_spectral_entropy" "number_of_freq_peaks" "number_of_freq_peaks_cqv" "peak_freq" "peak_freq_cqv" "ACTfract" "spectral_bandwidth_90" "ugof_isochronous" "npvi_ioi" "npvi_ioi_cqv" "num_syllables_per_unit_time" "duration_song" "syllable_duration_median" "ioi_duration_median" "syllable_duration_median_cqv"
"Acrocephalus_arundinaceus" 0.8151 0.6037 31.5 2.381 3327.5469 7.201 0.3647 1894.9219 0.4924 26.9786 4.3535 5.6071 11.5 0.0555 0.1778 1.6325
"Acrocephalus_palustris" 0.7639 0.626 31.9286 7.0866 4331.7598 10.1552 0.296 2571.6797 0.4049 15.2397 30.3922 5.7321 2.2143 0.0526 0.1269 4.7294
"Acrocephalus_schoenobaenus" 0.8412 0.724 30 6.7797 4372.0182 9.6295 0.3285 3488.3789 0.4761 16.8998 9.3049 6.7778 11.3333 0.0503 0.1294 7.0432
"Acrocephalus_scirpaceus" 0.8501 0.6361 22 0 3326.0469 0 0.3203 1851.8555 0.4862 22.9857 0 5.7879 33 0.0523 0.1654 0
"Aegithalos_caudatus" 0.7838 0.5594 25.625 21.2121 6699.6431 1.017 0.2732 1738.8062 0.5919 14.8113 10.2431 4.8816 3.25 0.0636 0.18 23.5421
"Alauda_arvensis" 0.8994 0.6304 16 0 4016.1094 0 0.2968 1851.8555 0.5233 21.3565 0 7.6176 33 0.0522 0.1248 0
"Alcedo_atthis" 0.8168 0.4925 32.1111 4.7619 5417.3898 2.5716 0.2031 2928.5156 0.287 16.3798 100 3.1111 0.4444 0.061 0.1783 14.6387
"Anthus_campestris" 0.7667 0.5526 19.2353 11.1111 4320.9506 12.1331 0.2772 1674.5232 0.4879 16.4213 57.3204 4.4412 0.8824 0.0426 0.1088 13.7935
"Anthus_pratensis" 0.7877 0.5215 8 12.5 4549.9505 7.967 0.3579 1062.3047 0.4995 22.1187 19.5104 8.2105 9 0.045 0.1161 4.0614
"Anthus_spinoletta" 0.8565 0.6217 10.5714 16.2791 4307.7171 5.8452 0.2756 2214.8438 0.5268 4.8197 21.4953 6.8408 5.5714 0.0671 0.1756 13.899
"Anthus_trivialis" 0.8539 0.6547 12 10.2041 4148.3307 4.2896 0.3292 2469.1406 0.5527 8.7246 13.3448 6.4222 7 0.0576 0.1546 3.1819
"Apus_apus" 0.8716 0.5946 27 1.8519 5288.7682 1.6085 0.2297 1593.457 0.5545 24.3104 8.3452 6.8333 6 0.058 0.1309 2.1767
"Carduelis_carduelis" 0.8056 0.6344 27.8889 5.4545 3413.75 12.7028 0.2729 2277.7344 0.4829 14.2592 18.3745 6.4057 3.4444 0.0506 0.1132 5.0367
"Certhia_brachydactyla" 0.8757 0.5836 30.5 5.8333 5210.4688 4.8463 0.2242 1647.29 0.4746 25.7397 22.5327 8.5 1 0.06 0.1208 0.7526
"Certhia_familiaris" 0.8332 0.6148 28.6667 8.6207 6411.8281 5.4678 0.2223 2612.6953 0.499 16.5162 6.3632 7.2222 3 0.051 0.1205 1.0642
"Cettia_cetti" 0.7906 0.642 29.6667 9.2437 4006.1094 6.8829 0.3273 1952.3438 0.4828 27.382 8.3764 6.4444 2.3333 0.0547 0.1502 2.6692
"Chloris_chloris" 0.8104 0.5356 25 11.5578 3428.2195 4.3152 0.2167 1270.459 0.5633 5.9026 49.9615 9.6167 1.9 0.0385 0.0787 7.6954
"Cinclus_cinclus" 0.7534 0.6362 22 10.3448 3988.8428 11.6385 0.3243 2573.2178 0.5443 24.3861 7.165 5.0496 6.75 0.0553 0.1945 3.5181
"Cisticola_juncidis" 0.6902 0.6065 14 0 7193.0234 0 0.1964 1937.9883 0.554 25.9885 0 4.0714 14 0.0537 0.2061 0
"Clamator_glandarius" 0.8574 0.5823 34.3636 10.1449 2759.0018 39.9277 0.1578 2525.2575 0.317 9.1595 100 5.1515 1.2727 0.066 0.1056 11.6455
"Coccothraustes_coccothraustes" 0.5343 0.3069 33.4 1.4925 5218.3687 0.1726 0.2445 249.7852 0.1533 9.4068 100 2.4 0 0.0576 0.1798 0.6364
"Columba_livia" 0.9156 0.2708 2 0 428.0977 0.7592 0.1633 172.2656 0.4819 15.4505 5.1423 9.5 1 0.045 0.1038 8.062
"Columba_oenas" 0.8415 0.1984 2.3333 20 387.8646 0.3856 0.259 114.8438 0.4724 15.0141 56.6701 4.2222 0.8889 0.0597 0.1537 6.7598
"Columba_palumbus" 0.8516 0.2976 1 0 496.1973 3.0358 0.342 236.8652 0.5002 26.5452 5.0521 5.875 5.5 0.0512 0.1393 2.1233
"Coracias_garrulus" 0.8181 0.5504 30.2143 13.1148 2264.8627 29.2246 0.257 1455.0293 0.3744 18.1409 53.4586 5.0095 2 0.053 0.1448 8.0094
"Corvus_corax" 0.7891 0.4849 34 4.3478 1327.9807 5.903 0.2065 1597.9122 0.1791 8.8103 100 2.3793 0.4483 0.0832 0.1749 21.5017
"Corvus_corone" 0.8242 0.5673 27.6 14.2857 1801.9227 18.6348 0.2396 1688.2031 0.5236 28.7789 8.3501 7.1567 3.4 0.0495 0.1347 14.2942
"Corvus_frugilegus" 0.8997 0.5325 26.8 14.8148 1398.2852 12.0514 0.1721 1455.6445 0.4008 16.1009 62.4416 6.3 1 0.0588 0.1058 2.9388
"Corvus_monedula" 0.7831 0.5026 31.1111 6.25 1894.4184 16.5452 0.1969 1665.2344 0.2074 6.2691 100 4 0.4444 0.0543 0.1228 1.3324
"Cuculus_canorus" 0.7326 0.2728 1.6 33.3333 627.9031 12.2449 0.385 241.1719 0.2446 27.2066 100 2.8 1 0.0801 0.2278 23.8135
"Sylvia_cantillans" 0.8135 0.6567 27 7.4074 3865.0969 11.9545 0.3154 2222.2266 0.4835 15.3794 4.4851 9.0667 3.2 0.0453 0.101 3.9965
