species;2019_uicn_redlist
Struthio camelus;LC
Struthio molybdophanes;VU
Rhea americana;NT
Rhea pennata;LC
Rhea tarapacensis;NT
Apteryx australis;VU
Apteryx mantelli;VU
Apteryx rowi;VU
Apteryx owenii;NT
Apteryx haastii;VU
Casuarius casuarius;LC
Casuarius bennetti;LC
Casuarius unappendiculatus;LC
Dromaius novaehollandiae;LC
Dromaius minor;EX
Dromaius baudinianus;EX
Tinamus tao;VU
Tinamus solitarius;NT
Tinamus osgoodi;VU
Tinamus major;NT
Tinamus guttatus;NT
Nothocercus bonapartei;LC
Nothocercus julius;LC
Nothocercus nigrocapillus;VU
Crypturellus berlepschi;LC
Crypturellus cinereus;LC
Crypturellus soui;LC
Crypturellus ptaritepui;LC
Crypturellus obsoletus;LC
Crypturellus undulatus;LC
Crypturellus transfasciatus;NT
Crypturellus strigulosus;LC
Crypturellus duidae;NT
Crypturellus erythropus;LC
Crypturellus noctivagus;NT
Crypturellus atrocapillus;NT
Crypturellus cinnamomeus;LC
Crypturellus occidentalis;LC
Crypturellus boucardi;LC
Crypturellus kerriae;VU
Crypturellus variegatus;LC
Crypturellus brevirostris;LC
Crypturellus bartletti;LC
Crypturellus parvirostris;LC
Crypturellus casiquiare;LC
Crypturellus tataupa;LC
Rhynchotus rufescens;LC
Rhynchotus maculicollis;LC
Nothoprocta taczanowskii;VU
Nothoprocta ornata;LC
Nothoprocta perdicaria;LC
Nothoprocta cinerascens;LC
Nothoprocta pentlandii;LC
Nothoprocta curvirostris;LC
Nothura boraquira;LC
Nothura minor;VU
Nothura darwinii;LC
Nothura maculosa;LC
Taoniscus nanus;EN
Eudromia elegans;LC
Eudromia formosa;LC
Tinamotis pentlandii;LC
Tinamotis ingoufi;LC
Alectura lathami;LC
Aepypodius arfakianus;LC
Aepypodius bruijnii;EN
Talegalla cuvieri;LC
Talegalla fuscirostris;LC
Talegalla jobiensis;LC
Leipoa ocellata;VU
Macrocephalon maleo;EN
Eulipoa wallacei;VU
Megapodius pritchardii;VU
Megapodius laperouse;EN
Megapodius nicobariensis;VU
Megapodius cumingii;LC
Megapodius bernsteinii;VU
Megapodius tenimberensis;VU
Megapodius freycinet;LC
Megapodius geelvinkianus;VU
Megapodius eremita;LC
Megapodius layardi;VU
Megapodius decollatus;LC
Megapodius reinwardt;LC
Ortalis vetula;LC
Ortalis cinereiceps;LC
Ortalis garrula;LC
Ortalis ruficauda;LC
Ortalis erythroptera;VU
Ortalis wagleri;LC
Ortalis poliocephala;LC
