"";"NomS";"SGIo";"RANGE_BIRDLIFE";"Affinity";"Hand-Wing.Index";"Beak.Depth";"Mass";"Migration";"Habitat";"Trophic.Niche";"Primary.Lifestyle";"Centroid.Latitude";"Range.Size";"avg.clutch";"social";"longevity";"X2019_uicn_redlist";"syn1";"syn2";"syn3";"syn4";"Ht";"Hf";"nfp";"nfp.cqv";"pf";"pf.cqv";"actfract";"sp.bdw";"ugof.iso";"npvi.ioi";"npvi.ioi.cqv";"n.syll";"dur";"syll.dur.med";"ioi.dur.med";"syll.dur.med.cqv";"nonphy.acou.PC1";"nonphy.acou.PC2";"phy.acou.PC1";"phy.acou.PC2"
"1";"Acanthis flammea";1,385563547;9,84;353;33,1;6,5;13;2;"Forest";"Granivore";"Generalist";64,52;19794267,79;5;NA;12,2;"LC";NA;NA;NA;NA;0,826;0,6133;19,6;8,1081;3691,418;5,1408;0,2989;1912,1484;0,5121;20,7698;17,6403;6,28;4,4;0,0563;0,13;0,6703;0,946349697661071;0,474261018087584;-0,896178770860526;-0,236296340217067
"2";"Acrocephalus arundinaceus";1,120566905;32,594;591;28,6;5,4;30;3;"Wetland";"Invertivore";"Insessorial";49,39;9336953,31;5;NA;10;"LC";-0,109168121397195;0,0147456166615889;-0,0442206868080905;-0,0307181582297001;0,8151;0,6037;31,5;2,381;3327,5469;7,201;0,3647;1894,9219;0,4924;26,9786;4,3535;5,6071;11,5;0,0555;0,1778;1,6325;1,21243754548105;0,920558450887512;-1,70067407223009;0,993292225359804
"3";"Acrocephalus palustris";0,924164456;18,993;884;27,9;3,3;11,5;3;"Shrubland";"Invertivore";"Insessorial";51,96;5996672,74;4,3;NA;9,8;"LC";0,105667033857509;0,0658107711301443;0,179924263880857;0,159925222742831;0,7639;0,626;31,9286;7,0866;4331,7598;10,1552;0,296;2571,6797;0,4049;15,2397;30,3922;5,7321;2,2143;0,0526;0,1269;4,7294;0,260822639919398;-1,69858786183308;-0,831038129368581;1,02736603855996
"4";"Acrocephalus schoenobaenus";0,551721256;36,434;700;28,2;2,8;11,83;3;"Wetland";"Invertivore";"Insessorial";56,04;11967937,01;8;NA;10,09;"LC";0,165531018046326;0,087517101012649;0,257157804280087;0,196739010602476;0,8412;0,724;30;6,7797;4372,0182;9,6295;0,3285;3488,3789;0,4761;16,8998;9,3049;6,7778;11,3333;0,0503;0,1294;7,0432;2,11217866012591;-1,52980121767742;-2,32937327138958;0,813502054893659
"5";"Acrocephalus scirpaceus";0,56338496;52,135;818;24,3;2,9;12,3;3;"Wetland";"Invertivore";"Insessorial";25,94;15112845,4;4;1,5;14;"LC";0,175048544808328;0,222923509047751;0,307086789719867;0,291623005819712;0,8501;0,6361;22;0;3326,0469;0;0,3203;1851,8555;0,4862;22,9857;0;5,7879;33;0,0523;0,1654;0;2,60357655071289;1,96099945162171;-2,44480139024585;0,27041340887762
"6";"Aegithalos caudatus";2,03115891;63,471;980;22;3,3;8,6;1;"Forest";"Invertivore";"Insessorial";52,48;18247301,19;10;3;10,8;"LC";-0,0468742131386054;-0,024752895743481;-0,0677377717356776;-0,0631082247261411;0,7838;0,5594;25,625;21,2121;6699,6431;1,017;0,2732;1738,8062;0,5919;14,8113;10,2431;4,8816;3,25;0,0636;0,18;23,5421;-1,00158697432359;-0,241958385502851;-0,311916697582194;-0,0246440809747087
"7";"Alauda arvensis";1,448002005;58,684;1213;33,6;4,7;37,31;2;"Grassland";"Omnivore";"Terrestrial";53,41;26018285,25;4;3,5;10;"LC";0,108482617512964;-0,106206424589521;0,207301595414905;0,139908618666482;0,8994;0,6304;16;0;4016,1094;0;0,2968;1851,8555;0,5233;21,3565;0;7,6176;4,43839179104478;0,0522;0,1248;0;2,13173279468941;1,02084917890658;-1,77782883942525;-0,829659020360062
"8";"Alcedo atthis";0,592095694;61,984;446;26,9;7,4;31,09;1;"Riverine";"Aquatic predator";"Insessorial";39,55;24992154,31;6,5;5;21;"LC";0,104211932249973;0,147537453556088;0,227456116124308;0,179663128670276;0,8168;0,4925;32,1111;4,7619;5417,3898;2,5716;0,2031;2928,5156;0,287;16,3798;100;3,1111;0,4444;0,061;0,1783;14,6387;-2,63779942617539;-2,29671428958029;1,19064669909523;2,81466406346573
"9";"Anthus campestris";0,763454903;14,358;234;28,5;3,9;23;3;"Grassland";"Invertivore";"Terrestrial";45,89;11176674,59;4,5;NA;NA;"LC";-0,105203852293095;-0,250921869709034;-0,343867104667791;-0,223202283970716;0,7667;0,5526;19,2353;11,1111;4320,9506;12,1331;0,2772;1674,5232;0,4879;16,4213;57,3204;4,4412;0,8824;0,0426;0,1088;13,7935;-0,734219736412484;-0,646445659713187;0,79015987795737;-0,450514071385141
"10";"Anthus pratensis";1,389773648;33,171;516;24,3;3,1;18,4;2;"Grassland";"Invertivore";"Terrestrial";59,47;6733599,47;4;2;8,8;"NT";0,186814603679495;-0,0745453461620241;0,325900261163229;0,240918569068177;0,7877;0,5215;8;12,5;4549,9505;7,967;0,3579;1062,3047;0,4995;22,1187;19,5104;8,2105;9;0,045;0,1161;4,0614;1,27100248503741;1,98509718766428;-0,757937498674208;-2,67954498392274
"11";"Anthus spinoletta";0,430947025;7,915;299;23,4;3,4;23,9;3;"Grassland";"Invertivore";"Terrestrial";45,38;3806294,97;5,33;3,5;8,82;"LC";-0,296714251177513;-0,391972821380542;-0,459483203867679;-0,460405320667142;0,8565;0,6217;10,5714;16,2791;4307,7171;5,8452;0,2756;2214,8438;0,5268;4,8197;21,4953;6,8408;5,5714;0,0671;0,1756;13,899;-0,699726146519726;0,280387132189551;0,388594961759823;-1,04451524127946
"12";"Anthus trivialis";1,892360153;59,461;790;29,3;3,8;23,33;3;"Woodland";"Invertivore";"Terrestrial";56,07;15353264,33;5;2;8,8;"LC";-0,125990321881649;-0,283477153163212;-0,186236381825596;-0,184138288574956;0,8539;0,6547;12;10,2041;4148,3307;4,2896;0,3292;2469,1406;0,5527;8,7246;13,3448;6,4222;7;0,0576;0,1546;3,1819;1,06991668769165;0,545261632175358;-1,17902662080516;-1,2503745732894
"13";"Apus apus";0,95033258;63,478;312;71,6;2,8;37,6;3;"Human Modified";"Invertivore";"Aerial";48,52;24779919,71;2,5;3;21;"LC";0,078673525726789;0,128382335515998;0,102854001906938;0,106568200054564;0,8716;0,5946;27;1,8519;5288,7682;1,6085;0,2297;1593,457;0,5545;24,3104;8,3452;6,8333;6;0,058;0,1309;2,1767;1,52677723542791;0,0980152746125969;-1,64924458368544;0,695901791331486
"14";"Apus pallidus";NA;NA;132;72,3;2,3;41,9;3;"Rock";"Invertivore";"Aerial";30,92;1720365,16;2,5;1;21;"LC";NA;NA;NA;NA;0,8952;0,5951;32,5;3,0075;4840,3877;2,3249;0,2298;1711,8896;0,5229;21,5283;8,3907;6,1875;3;0,0577;0,1361;2,1788;1,05878892913456;-0,419712962998639;-1,36928570369671;1,21033092599227
"15";"Calandrella brachydactyla";0,605275396;2,816;132;34,5;5,1;21,06;2;"Grassland";"Omnivore";"Terrestrial";42,62;9578341,98;3,5;NA;NA;"LC";NA;NA;NA;NA;0,8411;0,6004;18,75;14,1026;4070,4507;2,3705;0,2866;1749,5728;0,555;15,3454;9,1401;9,25;1,375;0,0515;0,1207;5,0708;1,23961672841677;0,452401032651705;-0,868050623894218;-1,53147010590695
"16";"Caprimulgus europaeus";1,556331464;41,681;409;53,4;3,1;67;3;"Shrubland";"Invertivore";"Aerial";47,43;19002486,05;2;NA;11,92;"LC";-0,812296647791472;-0,260776508399623;-0,873380391888896;-0,805003630347851;0,9102;0,5067;11;0;2115,1875;0;0,18;1033,5938;0,525;19,3758;0;9,8235;17;0,0464;0,0958;0;2,13884676866894;2,16513900208503;-0,239729389622786;-1,59768747307452
"17";"Carduelis carduelis";1,895598764;63,297;983;33,4;7,2;16;1;"Woodland";"Granivore";"Insessorial";50,13;11860717,87;5;NA;11,75;"LC";0,0537070365305437;-6,33523609650528e-05;0,0912393960780608;0,068604745484214;0,8056;0,6344;27,8889;5,4545;3413,75;12,7028;0,2729;2277,7344;0,4829;14,2592;18,3745;6,4057;3,4444;0,0506;0,1132;5,0367;0,706850737634752;-1,1438116188652;-0,543644693905215;0,488018098032046
"18";"Carduelis citrinella";NA;NA;74;30,3;5,4;12;1;"Forest";"Granivore";"Generalist";45,36;193259,64;4,5;NA;5,67;"LC";-0,608216343914352;-0,757569572911531;-1,22506097997871;-0,932848752408027;0,7716;0,6327;25,5;20,5882;4310,0742;1,9462;0,298;2045,6543;0,5248;21,7674;3,5551;6,9926;23,5;0,0486;0,1255;2,237;2,20689520935825;0,569588549590778;-2,06168060171797;-0,457112632419251
"19";"Cecropis daurica";NA;NA;220;53,2;3;22,2;3;"Grassland";"Invertivore";"Aerial";29,46;18735899,27;4,5;3,5;9;"LC";NA;NA;NA;NA;0,8225;0,5796;27,75;4,8889;3681,6279;15,9936;0,2925;1744,1895;0,5081;22,8938;5,6731;8;1,75;0,0608;0,1486;1,6509;0,664766820371889;-0,00644497116273567;-0,637414614246948;0,599044903704215
"20";"Certhia brachydactyla";2,046583299;63,061;609;17,7;2,5;8,2;1;"Forest";"Invertivore";"Insessorial";44,73;3199552,33;6;NA;5,67;"LC";-0,029296838744377;-0,0293222368076404;-0,0440056424908772;-0,0423971426783878;0,8757;0,5836;30,5;5,8333;5210,4688;4,8463;0,2242;1647,29;0,4746;25,7397;22,5327;8,5;1;0,06;0,1208;0,7526;1,06718138758382;-0,582249489976783;-1,1950054951118;0,9296106216269
